93,96
47,50
71,17
58,74
89,59
13,30
3,18
49,23
58,99
31,76
23,95
69,45
39,55
5,81
84,74
4,0
47,35
89,89
2,85
46,62
64,40
4,1
3,10
79,3
61,33
20,4
41,47
19,86
80,68
39,57
15,46
24,6
44,71
91,90
13,42
35,78
0,35
11,81
76,40
43,34
90,64
37,34
47,4
81,31
81,47
66,98
52,10
86,87
60,71
15,95
76,20
52,98
96,44
72,29
35,35
85,74
58,11
44,43
77,46
74,84
59,64
2,48
51,20
74,9
78,43
55,46
90,48
41,50
57,76
82,79
79,84
65,36
16,75
34,7
94,49
32,33
41,68
95,23
91,30
24,97
86,44
38,53
48,14
26,82
63,50
72,61
1,37
23,88
93,99
67,37
46,50
74,18
60,14
26,6
9,56
84,26
17,4
56,98
93,0
83,29
